Concept,Count,Swadesh
822_plsuffixonkinshipnouns,6,
511_forbenefactivecliticisedorsuffixedtonoun,6,
868_orplinsomeverbs,6,
869_orsginsomeverbs,6,
881_also,6,
2785_BIVALVIA_MUSSELS_OR_OYSTERS,6,
1746_BLADDER,6,
1470_FOLD,6,
1705_pandanusnet,6,
829_RAFTER,6,
280_RIDGEPOLE,6,
1759_strainer,6,
1296_WALKING_STICK,6,
1774_twodaysagoorhence,6,
1558_bambooknife,6,
1587_carpenterbee,6,
2643_INK,6,
607_GRASSHOPPER,6,
1671_lavalavasarong,6,
2951_POUCH,6,
1326_DOWN,6,
2654_VIPER,6,
301_CHIEFTAIN,6,
1993_SELF,6,
506_MAIZE,5,
883_TERMITE,5,
1218_fern,5,
1512_RISE_ONESELF,5,
2302_2ppaucal,5,
2303_3ppaucal,5,
339_spineofleaf,5,
84_JUST,5,
1991_INTESTINES,5,
810_predicativepossessivesuffix,5,
2561_HURT_SENSE_PAIN,5,
971_these,5,
1633_FLAT,5,
1906_SOUR,5,
1585_canoepole,5,
1225_DAY_NOT_NIGHT,5,
1672_leafwovenitem,5,
1717_FIFTY,5,
1115_SPEECH,5,
3181_MUSTARD,5,
992_CLIFF,5,
1476_CHAIR,5,
2100_blossom,5,
2153_squash,5,
2154_taboo,5,
149_ITCHY,5,
1492_DUMB,4,
1905_EAGLE,4,
2349_SHRIMP,4,
1702_palmroof,4,
895_TORTOISE,4,
2432_drymeat,4,
2412_secretly,4,
978_WAVE,4,
2518_giveyou,4,
506_medialssverbsuffix,4,
860_toclearbushforplanting,4,
1949_BEDBUG,4,
727_WHICH,4,
804_purposiveverbsuffix,4,
2257_firegoesout,4,
2262_marsupial,4,
2264_beunwilling,4,
"2472_SUCKLE_BREASTFEED,_NURSE",4,
1756_WIDOW,4,
1981_WIDOWER,4,
923_LOVE,4,
1290_tonotknow,4,
980_bushhen,4,
1065_SPIDER_WEB,4,
2288_METEROID_SHOOTING_OR_SHINING_STAR,4,
1559_bananaseed,4,
1586_canoewithoutoutrigger,4,
1126_CITRUS_FRUIT,4,
1481_HAMMER,4,
1693_needlefishsp,4,
1715_pufferfish,4,
1654_headcovering,4,
2333_THREE_DAYS_BEFORE_NOW,4,
405_OLDER_SIBLING,4,
157_DYE,4,
489_KIDNEY,4,
2150_fedupwith,4,
2152_smallmammal,4,
2164_husbandandwife,4,
470_POSSUM,4,
1766_FINISH,3,
2411_HURT_SOMEBODY,3,
1892_TOUCH,3,
1631_FAST,3,
1632_FLOOR,3,
3161_CHEW_BETEL,3,
1000_youth,3,
2151_sitwithfeetandlegstogether,3,
2286_leafdecoration,3,
2287_roofinggrass,3,
134_FAULT,3,
2288_bushknife,3,
